tipo,fecha,id_conversacion,texto_usuario,texto_referencia,likes,rts
REACCION,2026-02-18 12:57:05+00:00,2022518923212550206,@elpibex84 @basubte @gcba @jorgemacri @Emova_arg Es el atp de bs as... https://t.co/LWwqZcyiQO,🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-18 05:29:24+00:00,2022518923212550206,@basubte @gcba @jorgemacri sigan pelotudeando ustedes,🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-17 21:38:12+00:00,2022518923212550206,@elpibex84 @basubte @gcba @jorgemacri @Emova_arg Para estas cuentas pagas lpqlp  @SoyPROpuro,🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-17 21:19:41+00:00,2022518923212550206,@eerceleidan @basubte @gcba @jorgemacri Pero negra sos de provincia,🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-17 05:17:31+00:00,2022518923212550206,@basubte @gcba @jorgemacri Dante... Me olvidé de la pensión de Nero y me fui a ver a Bad Bunny https://t.co/z012UflVJG,🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-17 05:04:36+00:00,2022518923212550206,@basubte @gcba @jorgemacri Se creen mejor que my chemical romance.,🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-17 00:04:02+00:00,2022518923212550206,@LUISEMI05183295 @basubte @gcba @jorgemacri @MiltonFriedom5 Si no vive en Argentina el culo roto ese,🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-16 23:51:03+00:00,2022518923212550206,@basubte @gcba @jorgemacri Manga de hijos de puta. Los vamos a limpiar el año que viene,🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-16 18:58:37+00:00,2022518923212550206,"@basubte @gcba @jorgemacri ¿Si limpian y reparan? Miles de cosas se pueden hacer en la subtes. Tema RRSS, tantas cosas para comunicar!!! Gobiernan para un barrio no para la calital de UNA NACIÓN",🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-16 17:06:18+00:00,2022518923212550206,@basubte @gcba @jorgemacri Cambien los vagones de la línea B hijos de puta,🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-16 16:42:54+00:00,2022518923212550206,"@basubte @gcba @jorgemacri Limpien los asientos, manga de roñosos, y arreglen las escaleras mecánicas",🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-16 15:18:58+00:00,2022518923212550206,@basubte @gcba @jorgemacri Y durante la semana horario pico cómo van las fotos,🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-16 14:43:32+00:00,2022518923212550206,@basubte @gcba @jorgemacri Así como lo ven esas dos sillas fueron la inversión mas grande hecha en el subte en toda la gestión del primo de Macri,🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-16 14:34:26+00:00,2022518923212550206,"@basubte @gcba @jorgemacri Linda publicidad... 🤦‍♂️ En subte no viajan más los +40? Porque en las fotitos son todos pendejos. BA Inclusivo te falta inventar Blackri, digo así siguen afanándole al contribuyente.",🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-16 13:16:26+00:00,2022518923212550206,@basubte @gcba @jorgemacri Y la limpieza ?  Te la debo,🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-16 13:14:37+00:00,2022518923212550206,@basubte @gcba @jorgemacri Arreglá las escaleras mecánicas mejor.,🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-16 05:52:09+00:00,2022518923212550206,"@Est07Jos @MiltonFriedom5 @basubte @gcba @jorgemacri Es un pobre tipo, ignoralo y listo.",🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-16 02:53:51+00:00,2022518923212550206,@basubte @gcba @jorgemacri El olor a meo se siemte hasta en el posteo,🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-16 02:47:27+00:00,2022518923212550206,@ruthFisheRr @basubte @gcba @jorgemacri Los de la linea B muchos de ellos están eyaculados,🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,1,0
REACCION,2026-02-16 00:24:57+00:00,2022518923212550206,"@basubte @gcba @jorgemacri las fotos post mcr eran más lindas, ahreee",🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-15 22:22:50+00:00,2022518923212550206,@basubte @gcba @jorgemacri Ayer en Scalibrini Ortiz... hasta que no ocurra una tragedia... no harán nada... https://t.co/wwrmYwrcI0,🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,71,16
REACCION,2026-02-15 22:02:45+00:00,2022518923212550206,@basubte @gcba @jorgemacri Fotos vamos a tirar cuando caigan en cana todos ustedes,🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,1,0
REACCION,2026-02-15 21:18:58+00:00,2022518923212550206,"@basubte @gcba @jorgemacri DeBeRíAn SaCaR eL oLoR a MeO dE tOdOs LaDoS, PoNeR vEnTiLaDoReS y ArReGlAr LaS gOtErAs",🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-15 21:13:04+00:00,2022518923212550206,"@basubte @gcba @jorgemacri Arreglen las escaleras mecánicas y pasen un trapo que los $1300 no se notan, delincuentes.",🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-15 21:08:21+00:00,2022518923212550206,@basubte @gcba @jorgemacri debi tirar mas fotos de cuando te tuve https://t.co/0UHRqSS3PN,🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-15 21:02:47+00:00,2022518923212550206,"@basubte @gcba @jorgemacri Por dios que manga de retrasados, cómo van a pagar por ver q bad bunny 🤦‍♂️  Todos fan de luzu y Olga seguro",🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-15 20:01:57+00:00,2022518923212550206,@basubte @gcba @jorgemacri Borren eso,🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-15 18:58:53+00:00,2022518923212550206,@tucotimbero @MiltonFriedom5 @basubte @gcba @jorgemacri Estás hablando con una persona que fue al teatro colon más de 30 veces. Te parece que me podés enseñar música? Busca en Google teatro Colón,🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-15 18:19:27+00:00,2022518923212550206,"@detectordebolu1 @MiltonFriedom5 @basubte @gcba @jorgemacri No es mi estilo, conozco canciones pop de bandas de rock porque son pop(ulares), nada más",🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
REACCION,2026-02-15 18:18:44+00:00,2022518923212550206,"@detectordebolu1 @MiltonFriedom5 @basubte @gcba @jorgemacri Mejor a ser un anciano nariz de pichula caída que odia a los ingleses por la Patagonia pero les chupa la pinga a los mismos por la música, peor aún ver a blanquitos argentinos creerse caribeños por la cumbia o el reggaeton",🟢🐰 DeBÍ TiRAR MáS FOToS de esta WELTiTA INoLVIDABLE ✨  ▶️ Extensión horaria en la Línea D tras el show de Bad Bunny.  #subte #buenosaires #badbunny #dtmf https://t.co/IiMu59BNHG,0,0
ANUNCIO,2026-02-13 16:23:17+00:00,2022345846743064632,"Este viernes, sábado y domingo toca Bad Bunny en River, y podés ir y volver en Subte.  La Línea D funcionará los tres días con horario extendido hasta la 1:30 h. Único ingreso por C. de Tucumán.  Las estaciones habilitadas para bajar son Olleros, Palermo, Pueyrredón y 9 de julio. https://t.co/RtygUAhz7e",,223,9
REACCION,2026-02-13 19:40:23+00:00,2022345846743064632,@basubte CONLA TUYA CONTRIBUYENTE,"Este viernes, sábado y domingo toca Bad Bunny en River, y podés ir y volver en Subte.  La Línea D funcionará los tres días con horario extendido hasta la 1:30 h. Único ingreso por C. de Tucumán.  Las estaciones habilitadas para bajar son Olleros, Palermo, Pueyrredón y 9 de julio. https://t.co/RtygUAhz7e",3,0
